Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C4 C7 C9 C17 C19 C27 C29 C37 C39 C47 C49,RESC0402_N,
1k,R6 R7 R8 R9 R10 R11 R12 R13 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53,RES-0402,
4.7nF,C1 C2,RESC0402_N,
10k,R5,RES-0402,
10uF,C6 C8 C16 C18 C26 C28 C36 C38 C46 C48,RESC0805_N,
100,R1 R2 R3 R4,RES-0402,
ADC12DL2500ACF,IC1,BGA256C100P16X16_1700X1700X331,
NFM31PC276B0J3L,C5 C15 C25 C35 C45,NFM31HK103R1H3L,
SN74AVC4T774PWR,IC2,SOP65P640X120-16N,
red,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48,CHIP-LED0603,
