Designator,Mid X,Mid Y,Layer,Rotation
C1,15.90,49.30,Top,180.0
C2,15.90,50.60,Top,0.0
C3,21.00,21.00,Top,180.0
C4,25.00,21.00,Top,0.0
C5,135.00,81.00,Top,180.0
C6,143.00,82.00,Top,270.0
C7,140.00,82.00,Top,270.0
C8,130.00,82.00,Top,270.0
C9,127.00,82.00,Top,270.0
C15,135.00,99.00,Top,180.0
C16,143.00,100.00,Top,270.0
C17,140.00,100.00,Top,270.0
C18,130.00,100.00,Top,270.0
C19,127.00,100.00,Top,270.0
C25,135.00,105.00,Top,180.0
C26,143.00,106.00,Top,270.0
C27,140.00,106.00,Top,270.0
C28,130.00,106.00,Top,270.0
C29,127.00,106.00,Top,270.0
C35,135.00,87.00,Top,180.0
C36,143.00,88.00,Top,270.0
C37,140.00,88.00,Top,270.0
C38,130.00,88.00,Top,270.0
C39,127.00,88.00,Top,270.0
C45,135.00,93.00,Top,180.0
C46,143.00,94.00,Top,270.0
C47,140.00,94.00,Top,270.0
C48,130.00,94.00,Top,270.0
C49,127.00,94.00,Top,270.0
IC1,32.00,50.00,Top,0.0
IC2,23.00,16.00,Top,0.0
LED1,102.00, 2.00,Top,180.0
LED2,105.00, 2.00,Top,180.0
LED3,108.00, 2.00,Top,180.0
LED4,111.00, 2.00,Top,180.0
LED5,114.00, 2.00,Top,180.0
LED6,117.00, 2.00,Top,180.0
LED7,120.00, 2.00,Top,180.0
LED8,123.00, 2.00,Top,180.0
LED17,128.00, 2.00,Top,180.0
LED18,131.00, 2.00,Top,180.0
LED19,134.00, 2.00,Top,180.0
LED20,137.00, 2.00,Top,180.0
LED21,140.00, 2.00,Top,180.0
LED22,143.00, 2.00,Top,180.0
LED23,146.00, 2.00,Top,180.0
LED24,149.00, 2.00,Top,180.0
LED25,84.00,107.00,Top,0.0
LED26,81.00,107.00,Top,0.0
LED27,78.00,107.00,Top,0.0
LED28,75.00,107.00,Top,0.0
LED29,72.00,107.00,Top,0.0
LED30,69.00,107.00,Top,0.0
LED31,66.00,107.00,Top,0.0
LED32,63.00,107.00,Top,0.0
LED33,134.00,75.00,Top,90.0
LED34,134.00,72.00,Top,90.0
LED35,134.00,69.00,Top,90.0
LED36,134.00,66.00,Top,90.0
LED37,134.00,63.00,Top,90.0
LED38,134.00,60.00,Top,90.0
LED39,134.00,57.00,Top,90.0
LED40,134.00,54.00,Top,90.0
LED41,111.00,107.00,Top,0.0
LED42,108.00,107.00,Top,0.0
LED43,105.00,107.00,Top,0.0
LED44,102.00,107.00,Top,0.0
LED45,99.00,107.00,Top,0.0
LED46,96.00,107.00,Top,0.0
LED47,93.00,107.00,Top,0.0
LED48,90.00,107.00,Top,0.0
R1,30.00,19.00,Top,0.0
R2,30.00,17.00,Top,0.0
R3,30.00,15.00,Top,0.0
R4,30.00,13.00,Top,0.0
R5,30.00,21.00,Top,0.0
R6,123.00, 5.00,Top,270.0
R7,120.00, 5.00,Top,270.0
R8,117.00, 5.00,Top,270.0
R9,114.00, 5.00,Top,270.0
R10,111.00, 5.00,Top,270.0
R11,108.00, 5.00,Top,270.0
R12,105.00, 5.00,Top,270.0
R13,102.00, 5.00,Top,270.0
R22,149.00, 5.00,Top,270.0
R23,146.00, 5.00,Top,270.0
R24,143.00, 5.00,Top,270.0
R25,140.00, 5.00,Top,270.0
R26,137.00, 5.00,Top,270.0
R27,134.00, 5.00,Top,270.0
R28,131.00, 5.00,Top,270.0
R29,128.00, 5.00,Top,270.0
R30,63.00,104.00,Top,90.0
R31,66.00,104.00,Top,90.0
R32,69.00,104.00,Top,90.0
R33,72.00,104.00,Top,90.0
R34,75.00,104.00,Top,90.0
R35,78.00,104.00,Top,90.0
R36,81.00,104.00,Top,90.0
R37,84.00,104.00,Top,90.0
R38,137.00,54.00,Top,180.0
R39,137.00,57.00,Top,180.0
R40,137.00,60.00,Top,180.0
R41,137.00,63.00,Top,180.0
R42,137.00,66.00,Top,180.0
R43,137.00,69.00,Top,180.0
R44,137.00,72.00,Top,180.0
R45,137.00,75.00,Top,180.0
R46,90.00,104.00,Top,90.0
R47,93.00,104.00,Top,90.0
R48,96.00,104.00,Top,90.0
R49,99.00,104.00,Top,90.0
R50,102.00,104.00,Top,90.0
R51,105.00,104.00,Top,90.0
R52,108.00,104.00,Top,90.0
R53,111.00,104.00,Top,90.0
