Comment,Designator,Footprint,LCSC Part #
0,R15 R18 R81 R87 R88 R89 R90,RES-0402,
0.1uF,C3 C4 C7 C9 C17 C19 C27 C29 C37 C39 C47 C49 C58 C59 C60 C77 C81,RESC0402_N,
1k,R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R40 R41 R42 R43 R44 R45 R46 R47 R48 R49 R50 R51 R52 R53 R93,RES-0402,
4.7nF,C1 C2,RESC0402_N,
10k,R5 R78 R79 R80 R82 R83 R84 R85 R86 R91 R92 R121 R123,RES-0402,
10uF,C6 C8 C10 C13 C16 C18 C21 C24 C26 C28 C34 C36 C38 C40 C41 C42 C43 C46 C48 C76 C80,RESC0805_N,
100,R1 R2 R3 R4,RES-0402,
ADC12DL2500ACF,IC1,BGA256C100P16X16_1700X1700X331,
AMS1117-1.2,U6,SOT-223-3,
EP4CE30F23C6N,IC5,BGA484C100P22X22_2300X2300X240,
EPCQ16ASI8N,IC6,SOIC127P600X175-8N,
NFM31PC276B0J3L,C5 C15 C25 C35 C45,NFM31HK103R1H3L,
OSCILLATORSMD-5X3,Y2,OSCILLATOR-SMD-5X3.2,C2901546
SKQGADE010,SW3 SW4,SW4-SMD-5.2X5.2X1.5MM,
SN74AVC4T774PWR,IC2,SOP65P640X120-16N,
red,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48,CHIP-LED0603,
0.1uF,C12 C20 C23 C31 C33 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71,RESC0402_N,
1uF,C11 C14 C22 C30 C32,RESC0402_N,
100,R17 R19 R20 R21 R39 R54 R55 R56 R57 R58 R59 R60 R61 R62 R63 R64 R65 R66 R67 R68 R69 R70 R71 R72 R73 R74 R75 R76 R77 R94 R95 R96 R97 R98 R99 R100 R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112 R113 R114 R115 R116 R117 R118 R119 R120,201,
