Designator,Mid X,Mid Y,Layer,Rotation
C11,100.50,79.50,Bottom,180.0
C12,100.50,78.40,Bottom,180.0
C14,93.50,79.60,Bottom,180.0
C20,93.50,78.50,Bottom,180.0
C22,93.50,82.55,Bottom,180.0
C23,89.50,81.50,Bottom,0.0
C30,94.50,76.55,Bottom,0.0
C31,94.50,81.45,Bottom,0.0
C32,93.50,75.45,Bottom,180.0
C33,89.50,76.50,Bottom,0.0
C61,140.50,76.50,Bottom,180.0
C62,124.50,74.50,Bottom,0.0
C63,140.50,85.50,Bottom,180.0
C64,143.00,89.00,Bottom,270.0
C65,143.00,69.00,Bottom,90.0
C66,124.50,85.40,Bottom,0.0
C67,122.00,68.70,Bottom,90.0
C68,122.00,89.00,Bottom,270.0
C69,135.00,76.00,Bottom,90.0
C70,127.00,84.85,Bottom,270.0
C71,138.50,72.50,Bottom,180.0
R17,130.15,87.00,Bottom,90.0
R19,132.50,84.50,Bottom,180.0
R20,130.50,83.50,Bottom,180.0
R21,128.50,83.50,Bottom,180.0
R39,126.00,85.00,Bottom,90.0
R54,127.00,83.00,Bottom,270.0
R55,132.00,89.00,Bottom,90.0
R56,132.00,87.00,Bottom,90.0
R57,131.00,89.00,Bottom,90.0
R58,130.00,89.00,Bottom,90.0
R59,129.00,89.00,Bottom,90.0
R60,127.00,89.00,Bottom,90.0
R61,128.00,82.00,Bottom,270.0
R62,128.00,80.00,Bottom,270.0
R63,135.95,68.85,Bottom,270.0
R64,134.95,68.85,Bottom,270.0
R65,133.90,68.90,Bottom,270.0
R66,132.80,68.90,Bottom,270.0
R67,131.80,68.90,Bottom,270.0
R68,134.00,73.00,Bottom,90.0
R69,132.00,71.00,Bottom,270.0
R70,131.00,71.00,Bottom,270.0
R71,131.00,73.00,Bottom,90.0
R72,129.00,72.00,Bottom,90.0
R73,127.00,71.00,Bottom,270.0
R74,124.50,73.50,Bottom,180.0
R75,127.85,76.05,Bottom,270.0
R76,128.00,78.00,Bottom,270.0
R77,126.00,89.00,Bottom,90.0
R94,125.00,89.00,Bottom,90.0
R95,131.30,82.55,Bottom,180.0
R96,124.50,80.50,Bottom,180.0
R97,126.50,76.50,Bottom,0.0
R98,126.50,75.50,Bottom,180.0
R99,127.00,74.00,Bottom,270.0
R100,124.00,89.00,Bottom,90.0
R101,122.50,85.50,Bottom,180.0
R102,124.45,83.45,Bottom,180.0
R103,122.50,83.50,Bottom,180.0
R104,122.50,82.50,Bottom,180.0
R105,122.50,81.50,Bottom,180.0
R106,122.50,80.50,Bottom,180.0
R107,131.00,69.00,Bottom,270.0
R108,130.00,69.00,Bottom,270.0
R109,129.00,69.00,Bottom,270.0
R110,127.00,69.00,Bottom,270.0
R111,126.00,69.00,Bottom,270.0
R112,124.00,69.00,Bottom,270.0
R113,125.00,69.00,Bottom,270.0
R114,122.50,70.70,Bottom,180.0
R115,122.50,73.50,Bottom,180.0
R116,122.50,74.50,Bottom,180.0
R117,122.50,75.50,Bottom,180.0
R118,122.50,76.50,Bottom,180.0
R119,122.50,77.50,Bottom,180.0
R120,124.50,77.50,Bottom,180.0
