Designator,Mid X,Mid Y,Layer,Rotation
1KHZOUT50,224,146.5,Top,180
C1,58.9,78.8,Top,180
C2,58.9,80.1,Top,0
C3,98,102,Top,0
C4,92,102,Top,0
C5,133.5,113.5,Top,180
C6,141.5,114.5,Top,270
C7,138.5,114.5,Top,270
C8,128.5,114.5,Top,270
C9,125.5,114.5,Top,270
C10,83.15,98.6,Top,270
C13,61.4,93,Top,0
C15,133.5,120,Top,180
C16,141.5,121,Top,270
C17,138.5,121,Top,270
C18,128.5,121,Top,270
C19,125.5,121,Top,270
C21,61.4,89,Top,0
C24,79.15,98.6,Top,270
C25,133.5,126,Top,180
C26,141.5,127,Top,270
C27,138.5,127,Top,270
C28,128.5,127,Top,270
C29,125.5,127,Top,270
C34,122.5,108.5,Top,270
C35,133.5,139,Top,180
C36,141.5,140,Top,270
C37,138.5,140,Top,270
C38,128.5,140,Top,270
C39,125.5,140,Top,270
C40,143,92,Top,270
C41,117.5,108.5,Top,270
C42,138.5,92,Top,270
C43,147.5,92,Top,270
C44,110.5,105,Top,0
C45,133.5,132.5,Top,180
C46,141.5,133.5,Top,270
C47,138.5,133.5,Top,270
C48,128.5,133.5,Top,270
C49,125.5,133.5,Top,270
C50,113.5,102,Top,270
C51,21.5,81.5,Top,90
C52,141,101,Top,90
C53,150.5,103,Top,180
C54,153,103,Top,0
C55,23.4,124.3,Top,0
C56,23.4,122.7,Top,0
C57,14,126.5,Top,0
C58,108.8,151.44,Top,0
C59,135.14,78.48,Top,180
C60,134.5,11,Top,0
C72,58.3,130.6,Top,0
C73,161.5,30,Top,270
C74,134,149,Top,270
C75,40.7,26.8,Top,0
C76,128.5,149.5,Top,90
C77,140,148.5,Top,270
C78,40.7,25.2,Top,0
C79,30.5,25.7,Top,0
C80,20,25,Top,270
C82,62.8,34.6,Top,0
C84,67.5,41.5,Top,180
C85,67.5,39.5,Top,180
C86,75.5,41.5,Top,0
C87,75.5,39.5,Top,0
C88,75.5,54,Top,0
C89,75.5,52.3,Top,0
C90,67.5,54,Top,180
C91,67.5,52,Top,180
C92,86,48,Top,270
C93,88.5,51,Top,90
C94,76.3,33,Top,270
C95,80.65,33,Top,270
C96,77,20.5,Top,180
C97,83,26.5,Top,0
C98,40,102,Top,180
C101,82.1,148.3,Top,270
C102,86.1,148.3,Top,270
C103,90.1,148.3,Top,270
C104,94.1,148.3,Top,270
C105,14.3,33.9,Top,180
C106,14.3,29.9,Top,180
C107,74.5,115,Top,0
C108,74.5,117,Top,0
C109,66.5,115,Top,180
C110,66.5,117,Top,180
C111,66.78,102.64,Top,180
C112,66.78,104.34,Top,180
C113,74.78,102.64,Top,0
C114,145.06,70.35,Top,90
C115,143.52,72.35,Top,90
C116,154.07,80.95,Top,90
C117,199.9,84.13,Top,0
C118,210.42,83.83,Top,270
C119,146.25,70.35,Top,90
C120,155.33,83.39,Top,180
C121,154.44,70.45,Top,270
C122,146.65,83.32,Top,180
C123,155.78,80.95,Top,90
C124,152.14,70.45,Top,90
C125,152.1,67.55,Top,270
C126,207.21,84.96,Top,180
C127,161.5,71,Top,90
C128,161.5,73.6,Top,90
C129,74.78,104.64,Top,0
C130,56,108.5,Top,90
C131,53.5,105.5,Top,270
C132,61,122.7,Top,180
C133,61.1,118.3,Top,180
C134,47.5,113,Top,180
C135,53.5,119,Top,0
C136,14.3,25.9,Top,180
C137,14.3,21.9,Top,180
