Comment,Designator,Footprint,LCSC Part #
0,R15 R18 R81 R87 R88 R89 R90,RES-0402,
0,R128 R129 R130,0402_RES,
0,R142 R155 R196,R0402,
0.1nF,C151 C152,C0402,
0.1uF,C3 C4 C7 C9 C17 C19 C27 C29 C37 C39,RESC0402_N,
0.1uF,C44,0402_CAP,
0.1uF,C47 C49,RESC0402_N,
0.1uF,C50,0402_CAP,
0.1uF,C55 C56,C0402,
0.1uF,C58 C59 C60,RESC0402_N,
0.1uF,C75,C0402,
0.1uF,C77,RESC0402_N,
0.1uF,C78,C0402,
0.1uF,C81,RESC0402_N,
0.1uF,C84 C85 C86 C87 C88 C89 C90 C91 C92 C93 C94 C95 C96 C97 C98 C107 C108 C109 C110 C111 C112 C113,C0402,
0.1uF,C114 C115 C116 C117 C119 C121 C122 C123 C124 C125,RESC0402_N,
0.1uF,C129 C130 C131 C132 C133 C134 C135 C142 C143 C144 C145 C146 C147 C148 C149 C150,C0402,
0.1uF,C245 C247 C249 C252 C254 C256 C258 C259 C260 C262 C263 C264 C266 C267 C268 C270 C271 C272 C274 C275 C276 C278 C279 C280 C282 C283 C284 C286 C318,RESC0402_N,C307331
0.01uF,C250,RESC0402_N,
1M,R42 R158,R0805,
1k,R6 R7 R8 R9 R10 R11 R12 R13 R14 R16 R22 R23 R30 R31 R32 R33 R34 R35 R36 R37 R46 R47 R48 R49 R50 R51 R52 R53 R93,RES-0402,
1k,R124 R125 R126,0402_RES,
1k,R136 R140 R141 R143 R145 R146 R147 R160 R162 R163 R164 R171 R178 R197 R199 R200 R201,R0402,
1nF,C153 C154,C0402,
1uF,C261 C265 C269 C273 C277 C281 C285,RESC0402_N,
2.2k,R179,RES-0402,
2.7nF,C155,C0402,
2k,R144 R198,R0402,
3.3k,R217 R218 R235,RES-0402,
3k,R122,0402_RES,
4.7nF,C1 C2,RESC0402_N,
5.1k,R176,R0402,
5.1k,R182 R183,RES-0402,
10k,R5 R78 R79 R80 R82 R83 R84 R85 R86 R91 R92 R121 R123,RES-0402,
10k,R156 R173 R174 R175,R0402,
10k,R234,RES-0402,
10uF,C6 C8 C10 C13 C16 C18 C21 C24 C26 C28 C34 C36 C38 C40 C41 C42 C43 C46 C48 C76 C80 C118 C120 C126 C242 C243 C244 C246 C248 C251 C253 C255 C257 C287 C288 C289 C319 C320 C321 C322,RESC0805_N,
10uH,L1 L9 L10 L11 L12 L13 L14,CDRH125,C339970
12MHz,Y3,CRYSTAL-SMD-5X3,C2901628
12k,R180 R181,RES-0402,
15k,R236,RES-0402,
16pF,C127 C128,RESC0402_N,
20k,R213 R214 R215 R216 R219 R220,RES-0402,
22.6,R134 R192,R0402,
