Comment,Designator,Footprint,LCSC Part #
0.1uF,C2 C3 C4 C5 C6 C8 C9 C10 C11 C12 C18 C20 C21,RESC0402_N,
1uF,C16,RESC0402_N,
2.2k,R4,RES-0402,
5.1k,R8,RES-0402,
10,R7,RES-0402,
10k,R10 R13,RES-0402,
10uF,C1 C7 C13 C17 C19,RESC0805_N,
12MHz,Y1,CRYSTAL-SMD-5X3,C2901628
12k,R1 R2,RES-0402,
16pF,C14 C15,RESC0402_N,
27,R6,RES-0402,
49.9k,R9,RES-0402,
50mΩ 220Ω@100MHz 0603,FB1,0603,C710364
93LC56B,IC1,SOT23-6,
CJT1117-5.0-SOT223,U1,SOT-223,
FT232HQ,IC2,QFN48_8MM,
HUSB238,X3,DFN10_3X3MM,
MOSFET-PCHANNEL-SOIC8SOIC8,U$9,SO08,C143671
USBC,X6,USB_C_CUSB31-CFM2AX-01-X,C5307756
