Designator,Mid X,Mid Y,Layer,Rotation
C1,20.83,15.89,Top,180.0
C2, 3.06, 3.35,Top,90.0
C3,14.44, 3.45,Top,270.0
C4, 0.52, 3.35,Top,90.0
C5,13.93,17.05,Top,270.0
C6,-0.65,-2.23,Top,0.0
C7,26.08, 2.17,Top,90.0
C8, 5.25, 3.35,Top,90.0
C9, 4.65,18.32,Top,180.0
C10,16.22,17.05,Top,270.0
C11,12.14, 3.45,Top,90.0
C12,12.10, 0.55,Top,270.0
C13, 4.41,-4.34,Top,180.0
C14,21.00, 6.00,Top,90.0
C15,21.00, 8.60,Top,90.0
C16,-3.00, 5.00,Top,0.0
C17,-11.00,20.00,Top,0.0
C18,-11.00,18.00,Top,0.0
C19,-11.20,-3.20,Top,270.0
C20,-13.40,-3.60,Top,270.0
C21,-12.00, 1.00,Top,270.0
FB1, 0.15,-4.69,Top,0.0
IC1, 9.09, 0.44,Top,180.0
IC2, 7.66,10.41,Top,180.0
R1,21.08,14.12,Top,180.0
R2,21.08,12.20,Top,180.0
R4, 5.98, 0.12,Top,90.0
R6, 0.38,13.14,Top,90.0
R7, 0.00,16.00,Top,0.0
R8, 0.00,20.00,Top,0.0
R9, 0.00,18.00,Top,0.0
R10,-12.00, 7.00,Top,180.0
R13,-12.00, 5.00,Top,180.0
U$9,-5.00,17.00,Top,0.0
U1,-6.00,-1.00,Top,180.0
X3,-4.00, 9.00,Top,90.0
X6,28.83,10.57,Top,90.0
Y1,18.00, 7.00,Top,270.0
