Comment,Designator,Footprint,LCSC Part #
0,R4 R17 R18 R19 R20,RES-0402,
0.1uF,C1 C3 C5 C7 C9 C11 C13 C14 C15,RESC0402_N,
1k,R38 R39 R40 R41 R42 R43 R44 R45,RES-0402,
10k,R1 R2 R3 R5 R6 R7 R8 R9,RES-0402,
10uF,C2 C4 C6 C8 C10 C12,RESC0805_N,
AMS1117-1.2,U3,SOT-223-3,
AMS1117-2.5,U2,SOT-223-3,
AMS1117-3.3,U1,SOT-223-3,
EP4CE30F23C6N,IC1,BGA484C100P22X22_2300X2300X240,
EPCQ16ASI8N,IC2,SOIC127P600X175-8N,
OSCILLATORSMD-5X3,Y1,OSCILLATOR-SMD-5X3.2,C2901546
SKQGADE010,SW1 SW2,SW4-SMD-5.2X5.2X1.5MM,
red,LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40,CHIP-LED0603,
