Designator,Mid X,Mid Y,Layer,Rotation
C1,-40.44,22.80,Top,90.0
C2,82.00,52.50,Top,90.0
C3,80.00,52.50,Top,90.0
C4,65.50,52.50,Top,90.0
C5,63.50,52.50,Top,90.0
C6,108.50,52.50,Top,270.0
C7,110.50,52.50,Top,270.0
C8,98.50,52.50,Top,90.0
C9,96.50,52.50,Top,90.0
C10,92.00,52.50,Top,270.0
C11,94.00,52.50,Top,270.0
C12,75.50,52.50,Top,270.0
C13,77.50,52.50,Top,270.0
C14,13.02,19.14,Top,270.0
C15, 2.00,58.50,Top,90.0
IC1,32.00,12.00,Top,0.0
IC2,-35.50,24.00,Top,0.0
LED33, 2.50,49.50,Top,180.0
LED34, 5.50,49.50,Top,180.0
LED35, 8.50,49.50,Top,180.0
LED36,11.50,49.50,Top,180.0
LED37,14.50,49.50,Top,180.0
LED38,17.50,49.50,Top,180.0
LED39,20.50,49.50,Top,180.0
LED40,23.00,49.50,Top,180.0
R1, 2.00,61.00,Top,90.0
R2,-33.00,14.00,Top,90.0
R3,106.00,11.50,Top,0.0
R4,-38.00, 2.50,Top,180.0
R5,-38.00, 6.00,Top,180.0
R6,106.00, 8.00,Top,0.0
R7,106.00,15.00,Top,0.0
R8,106.00,18.50,Top,0.0
R9,106.00,22.00,Top,0.0
R17,82.00,60.00,Top,180.0
R18,65.50,57.00,Top,180.0
R19,65.50,60.00,Top,180.0
R20,82.00,57.00,Top,180.0
R38,23.00,52.50,Top,270.0
R39,20.50,52.50,Top,270.0
R40,17.50,52.50,Top,270.0
R41,14.50,52.50,Top,270.0
R42,11.50,52.50,Top,270.0
R43, 8.50,52.50,Top,270.0
R44, 5.50,52.50,Top,270.0
R45, 2.50,52.50,Top,270.0
SW1,-37.50,11.50,Top,0.0
SW2,-2.50,58.50,Top,0.0
U1,103.50,52.50,Top,90.0
U2,87.00,52.50,Top,90.0
U3,70.50,52.50,Top,90.0
Y1,14.48,15.36,Top,0.0
