Comment,Designator,Footprint,LCSC Part #
0,AMPOUT+ AMPOUT- R8 R9 R14 R15 R21 R22,R0402,
0.1uF,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15,C0402,
1k,R12 R13 R16 R18 R19 R20,R0402,
2k,R17,R0402,
22.6,R6,R0402,
39,R2 R3 R10 R11,R0402,
66.5,R5,R0402,
127,R1 R4,R0402,
357,R7,R0402,
DAC8562SDGSR,IC6,SOP50P490X110-10N,
LMH5401IRMST,IC1,LMH5401IRMSR,
LMH6401IRMZR,IC2,LMH6401IRMZR,
OPA693ID,IC4,SOIC127P600X175-8N,
SN74AVC4T774PWR,IC3,SOP65P640X120-16N,
TLV9102IPWR,IC7,SOP65P640X120-8N,
green,D1 D2,LED0603,
