Designator,Mid X,Mid Y,Layer,Rotation
C1,31.00,25.00,Top,90.0
C2,29.00,25.00,Top,90.0
C3,31.00,17.00,Top,270.0
C4,29.00,17.00,Top,270.0
C5,67.00,17.00,Top,270.0
C6,65.30,17.00,Top,270.0
C7,67.00,25.00,Top,90.0
C8,65.00,25.00,Top,90.0
C9,21.00,56.00,Top,0.0
C10,21.00,58.00,Top,0.0
D1,18.00,70.00,Top,0.0
D2,18.00,67.00,Top,0.0
IC1,30.00,21.00,Top,270.0
IC2,66.00,21.00,Top,0.0
IC3,15.00,54.00,Top,0.0
R1,27.00,19.00,Top,270.0
R2,36.00,20.00,Top,0.0
R3,36.00,22.00,Top,0.0
R4,27.00,22.00,Top,90.0
R5,25.00,19.00,Top,90.0
R6,25.00,21.40,Top,0.0
R7,23.00,22.00,Top,270.0
R8,56.00,22.00,Top,0.0
R9,56.00,20.00,Top,0.0
R10,71.00,20.00,Top,0.0
R11,71.00,22.00,Top,0.0
R12,14.00,70.00,Top,0.0
R13,14.00,67.00,Top,0.0
