Designator,Mid X,Mid Y,Layer,Rotation
C1,45.00,30.00,Top,90.0
C2,76.00,34.00,Top,180.0
C11,50.40,21.10,Top,0.0
C12,50.40,19.50,Top,0.0
D1,71.00, 4.50,Top,0.0
D2,71.00,19.50,Top,0.0
FL1,47.50,20.50,Top,0.0
INCON,56.50,49.50,Top,270.0
K1,76.00,41.00,Top,180.0
K2,52.50,34.50,Top,180.0
OUTPUT50,84.50,34.00,Top,180.0
Q1,59.50,14.50,Top,0.0
R1,40.00,30.00,Top,90.0
R2,50.00,24.00,Top,0.0
R3,45.10,20.90,Top,270.0
R4,76.00,12.00,Top,0.0
R5,64.00,43.50,Top,270.0
R6,59.00,10.00,Top,0.0
R7,67.50,19.50,Top,0.0
R12,67.50, 4.50,Top,0.0
