Comment,Designator,Footprint,LCSC Part #
0.1uF,C7 C8 C12 C16 C17 C18 C20 C22 C25 C26 C27 C29 C31 C34 C35 C36 C37 C39 C40 C43 C46 C47 C48 C49 C52 C53 C54 C57,RESC0402_N,
0.01uF,C13,RESC0402_N,
1uF,C9 C23 C32 C41 C44 C50 C55,RESC0402_N,
3.3k,R1 R14 R18,RES-0402,
10k,R16,RES-0402,
10uF,C1 C2 C3 C4 C10 C11 C14 C19 C21 C28 C30 C38,RESC0805_N,
10uH,L2 L3 L4 L5 L6 L7 L8,CDRH125,C339970
15k,R2,RES-0402,
20k,R5 R9 R10 R17 R22 R24,RES-0402,
22uF,C5 C6 C15 C24 C33 C42 C51 C58 C61 C62 C63 C64 C65 C66 C67 C68 C69 C70 C71 C72 C77 C78 C79 C80 C81 C82 C83 C84,RESC0805_N,
39k,R25,RES-0402,
56k,R11 R13 R20,RES-0402,
68k,R7,RES-0402,
100k,R3 R6 R8 R12 R15 R19 R23,RES-0402,
200k,R4,RES-0402,
B340A,D6,SMA-DIODE,C64982
LMR33630ADDA,PS1 PS3 PS4 PS5 PS6 PS7 PS8,SOIC127P600X170-9N,
TPS7A7200RGTR,IC3 IC7 IC9 IC11 IC12 IC14,QFN50P300X300X100-17N,
TPS72325DBVR,IC5,SOT95P280X145-5N,
green,D1 D3 D5,LED0805,
