Designator,Mid X,Mid Y,Layer,Rotation
C1,66.00, 9.00,Top,90.0
C2, 6.00, 7.00,Top,0.0
C3,62.30,90.62,Top,90.0
C4,46.00, 6.00,Top,180.0
C5,61.00,23.00,Top,270.0
C6,64.00,23.00,Top,270.0
C7,56.00,71.00,Top,0.0
C8,50.00,80.00,Top,0.0
C9,53.00,80.00,Top,0.0
C10,65.40,90.50,Top,270.0
C11,12.70,91.44,Top,270.0
C12,10.16,91.44,Top,270.0
C13, 6.43,18.59,Top,180.0
C14, 6.43,15.42,Top,270.0
C15,25.00,15.00,Top,180.0
C16,25.00,77.00,Top,270.0
C17,56.00,56.00,Top,0.0
C18,50.00,65.00,Top,0.0
C19,12.70,60.96,Top,270.0
C20,10.16,60.96,Top,270.0
C21,12.70,76.20,Top,270.0
C22,10.16,76.20,Top,270.0
C23,53.00,65.00,Top,0.0
C24,25.00,18.00,Top,180.0
C25,25.00,62.00,Top,270.0
C26,51.00,37.00,Top,0.0
C27,13.54,16.56,Top,270.0
C28,12.70,50.80,Top,270.0
C29,10.16,50.80,Top,270.0
C30, 7.63,28.04,Top,270.0
C31,45.00,46.00,Top,0.0
C32,48.00,46.00,Top,0.0
C33,25.00,12.00,Top,180.0
C34,20.00,43.00,Top,270.0
C35, 5.09,28.04,Top,270.0
C36,56.00,86.00,Top,0.0
C37,50.00,95.00,Top,0.0
C38, 7.70,42.37,Top,270.0
C39,51.00,23.00,Top,0.0
C40,45.00,32.00,Top,0.0
C41,48.00,32.00,Top,0.0
C42,25.00, 9.00,Top,180.0
C43, 5.16,42.37,Top,270.0
C44,53.00,95.00,Top,0.0
C46,25.00,92.00,Top,270.0
C47,20.00,29.00,Top,270.0
C48,69.00,48.00,Top,90.0
C49,60.00,42.00,Top,90.0
C50,60.00,45.00,Top,90.0
C51,67.00,23.00,Top,270.0
C52,61.90,16.90,Top,180.0
C53,51.00, 9.00,Top,0.0
C54,45.00,18.00,Top,0.0
C55,48.00,18.00,Top,0.0
C57,20.00,15.00,Top,270.0
C58,70.00,23.00,Top,270.0
C61,25.00,29.00,Top,180.0
C62,25.00,32.00,Top,180.0
C63,25.00,26.00,Top,180.0
C64,25.00,23.00,Top,180.0
C65,30.00,77.00,Top,180.0
C66,30.00,80.00,Top,180.0
C67,30.00,74.00,Top,180.0
C68,30.00,71.00,Top,180.0
C69,25.00,43.00,Top,180.0
C70,25.00,46.00,Top,180.0
C71,25.00,40.00,Top,180.0
C72,25.00,37.00,Top,180.0
C77,30.00,62.00,Top,180.0
C78,30.00,65.00,Top,180.0
C79,30.00,59.00,Top,180.0
C80,30.00,56.00,Top,180.0
C81,30.00,92.00,Top,180.0
C82,30.00,95.00,Top,180.0
C83,30.00,89.00,Top,180.0
C84,30.00,86.00,Top,180.0
D1,69.00, 9.00,Top,270.0
D3,69.11,90.70,Top,270.0
D5,11.43,96.52,Top,180.0
D6,11.00,10.00,Top,90.0
IC3,19.05,91.44,Top,0.0
IC5,10.24,17.32,Top,180.0
IC7,19.05,60.96,Top,0.0
IC9,19.05,76.20,Top,0.0
IC11,19.05,50.80,Top,0.0
IC12,13.98,28.04,Top,0.0
IC14,14.05,42.37,Top,0.0
L2,41.00,75.00,Top,270.0
L3,41.00,90.00,Top,270.0
L4,41.00,60.00,Top,270.0
L5,36.00,41.00,Top,270.0
L6,36.00,27.00,Top,270.0
L7,65.00,33.00,Top,0.0
L8,36.00,13.00,Top,270.0
PS1,52.00,89.00,Top,90.0
PS3,52.00,74.00,Top,90.0
PS4,52.00,59.00,Top,90.0
PS5,47.00,40.00,Top,90.0
PS6,47.00,26.00,Top,90.0
PS7,66.00,44.00,Top,180.0
PS8,47.00,12.00,Top,90.0
R1,70.90, 9.70,Top,90.0
R2,65.00,50.00,Top,270.0
R3,56.00,77.00,Top,0.0
R4,56.00,75.00,Top,180.0
R5,15.24,91.44,Top,270.0
R6,56.00,62.00,Top,0.0
R7,56.00,60.00,Top,180.0
R8,51.00,43.00,Top,0.0
R9,15.24,60.96,Top,270.0
R10,15.24,76.20,Top,270.0
R11,51.00,41.00,Top,180.0
R12,51.00,29.00,Top,0.0
R13,51.00,27.00,Top,180.0
R14,70.89,91.49,Top,90.0
R15,63.00,48.00,Top,90.0
R16,65.00,48.00,Top,270.0
R17,10.17,28.04,Top,270.0
R18,15.24,96.52,Top,180.0
R19,51.00,15.00,Top,0.0
R20,51.00,13.00,Top,180.0
R22,15.24,50.80,Top,270.0
R23,56.00,92.00,Top,0.0
R24,10.24,42.37,Top,270.0
R25,56.00,90.00,Top,180.0
