Comment,Designator,Footprint,LCSC Part #
0.1uF,C1 C2 C5 C9 C12 C15 C16 C20 C22 C23 C24 C27 C31 C32 C35 C39 C40,RESC0402_N,
0.01uF,C4 C7 C13 C17 C25 C33 C41,RESC0402_N,
1k,R8,RES-0402,
2k,R16,RES-0402,
3.3k,R1 R3 R11 R12 R14 R18,RES-0402,
10k,R2 R4 R6 R7 R13 R15 R19,RES-0402,
10uF,C3 C10 C11 C14 C19 C21 C30,RESC0805_N,
10uH,L1 L2 L4 L6 L8 L10,CDRH125,C339970
20k,R5 R9 R10 R17 R20,RES-0402,
100uF,C6 C8 C18 C26 C34 C42,VISHAY_C,C7230
B340A,D1 D2 D4 D6 D8 D10,SMA-DIODE,C64982
TPS7A7200RGTR,IC3 IC7 IC9 IC12,QFN50P300X300X100-17N,
TPS5430DDAR,IC1 IC2 IC4 IC6 IC8 IC10,SOIC127P600X170-9N,
TPS72325DBVR,IC5,SOT95P280X145-5N,
green,D3 D5,LED0805,
