Designator,Mid X,Mid Y,Layer,Rotation
C1,25.40,25.40,Top,180.0
C2,25.40,10.16,Top,180.0
C3,16.62,12.70,Top,0.0
C4,30.48,21.59,Top,180.0
C5,67.31,27.94,Top,0.0
C6,62.23,25.40,Top,90.0
C7,30.48, 6.35,Top,180.0
C8,62.23, 8.89,Top,90.0
C9,67.31, 6.35,Top,180.0
C10,16.50, 9.60,Top,180.0
C11,12.70,91.44,Top,270.0
C12,10.16,91.44,Top,270.0
C13,11.43,21.59,Top,180.0
C14,11.43,18.41,Top,270.0
C15,67.31,46.99,Top,0.0
C16,25.40,44.45,Top,180.0
C17,30.48,40.64,Top,180.0
C18,62.23,44.45,Top,90.0
C19,12.70,60.96,Top,270.0
C20,10.16,60.96,Top,270.0
C21,12.70,76.20,Top,270.0
C22,10.16,76.20,Top,270.0
C23,67.31,62.23,Top,0.0
C24,25.40,59.69,Top,180.0
C25,30.48,55.88,Top,180.0
C26,62.23,59.69,Top,90.0
C27,18.54,19.56,Top,270.0
C28,12.70,50.80,Top,270.0
C29,10.16,50.80,Top,270.0
C30,11.43,27.94,Top,270.0
C31,67.31,77.47,Top,0.0
C32,25.40,74.93,Top,180.0
C33,30.48,71.12,Top,180.0
C34,62.23,74.93,Top,90.0
C35, 8.89,27.94,Top,270.0
C38,12.70,39.37,Top,270.0
C39,67.31,92.71,Top,0.0
C40,25.40,90.17,Top,180.0
C41,30.48,86.36,Top,180.0
C42,62.23,90.17,Top,90.0
C43,10.16,39.37,Top,270.0
D1,39.37,22.86,Top,90.0
D2,39.37, 6.35,Top,90.0
D3,17.30, 4.11,Top,0.0
D4,39.37,41.91,Top,90.0
D5,11.43,96.52,Top,180.0
D6,39.37,57.15,Top,90.0
D8,39.37,72.39,Top,90.0
D10,39.37,87.63,Top,90.0
IC1,31.75,26.67,Top,180.0
IC2,31.75,11.43,Top,180.0
IC3,19.05,91.44,Top,0.0
IC4,31.75,45.72,Top,180.0
IC5,15.24,20.32,Top,180.0
IC6,31.75,60.96,Top,180.0
IC7,19.05,60.96,Top,0.0
IC8,31.75,76.20,Top,180.0
IC9,19.05,76.20,Top,0.0
IC10,31.75,91.44,Top,180.0
IC11,19.05,50.80,Top,0.0
IC12,17.78,27.94,Top,0.0
IC14,19.05,39.37,Top,0.0
L1,50.80,25.40,Top,90.0
L2,50.80, 8.89,Top,90.0
L4,50.80,44.45,Top,90.0
L6,50.80,59.69,Top,90.0
L8,50.80,74.93,Top,90.0
L10,50.80,90.17,Top,90.0
R1,38.10,27.94,Top,0.0
R2,38.10,30.48,Top,180.0
R3,38.10,13.97,Top,0.0
R4,38.10,11.43,Top,180.0
R5,15.24,91.44,Top,270.0
R6,38.10,29.21,Top,0.0
R7,38.10,49.53,Top,180.0
R8,38.10,46.99,Top,0.0
R9,15.24,60.96,Top,270.0
R10,15.24,76.20,Top,270.0
R11,38.10,64.77,Top,180.0
R12,38.10,62.23,Top,0.0
R13,38.10,12.70,Top,0.0
R14,16.49, 6.11,Top,0.0
R15,38.10,80.01,Top,180.0
R16,38.10,77.47,Top,0.0
R17,13.97,27.94,Top,270.0
R18,15.24,96.52,Top,180.0
R19,38.10,95.25,Top,180.0
R20,38.10,92.71,Top,0.0
R21,38.10,48.26,Top,0.0
R22,15.24,50.80,Top,270.0
R24,15.24,39.37,Top,270.0
