Designator,Mid X,Mid Y,Layer,Rotation
C1,39.00,49.00,Top,90.0
C2,28.00,47.00,Top,0.0
C3,28.00,51.00,Top,180.0
C4,28.00,53.00,Top,0.0
C5,35.00,51.00,Top,270.0
C6,39.00,43.00,Top,180.0
C7,35.00,41.00,Top,90.0
C8,28.00,44.00,Top,180.0
C9,41.00,53.00,Top,90.0
C10,45.00,48.00,Top,180.0
C11,45.00,44.00,Top,180.0
C12, 9.00,46.00,Top,180.0
C13,15.00,46.00,Top,180.0
C14,35.00,58.00,Top,270.0
C15,35.00,61.00,Top,270.0
C16,31.00,58.00,Top,90.0
R1,42.00,48.00,Top,90.0
R2,43.00,53.00,Top,270.0
R3,42.00,45.00,Top,90.0
R4,41.00,23.00,Top,180.0
R5,41.00,20.00,Top,180.0
R6,41.00,17.00,Top,180.0
R7,41.00,26.00,Top,180.0
R8,32.00,52.00,Top,0.0
R9,12.00,45.00,Top,90.0
R10,33.00,58.00,Top,90.0
R11,33.00,61.00,Top,90.0
REFRFIN, 1.00,46.00,Top,0.0
RFAOUT+,53.00,38.00,Top,180.0
RFAOUT-,53.00,54.00,Top,180.0
U4,34.00,46.00,Top,90.0
