Designator,Mid X,Mid Y,Layer,Rotation
C1,20.83,15.89,Top,180.0
C2, 5.06, 3.35,Top,90.0
C3,14.44, 3.45,Top,270.0
C4, 3.52, 5.35,Top,90.0
C5,14.07,13.95,Top,90.0
C6,20.77, 1.65,Top,270.0
C7,28.92, 1.83,Top,270.0
C8, 6.25, 3.35,Top,90.0
C9, 5.65,16.32,Top,180.0
C10,15.78,13.95,Top,90.0
C11,12.14, 3.45,Top,90.0
C12,12.10, 0.55,Top,270.0
C13,22.54, 2.21,Top,270.0
C14,21.00, 6.00,Top,90.0
C15,21.00, 8.60,Top,90.0
FB1,25.95, 0.89,Top,180.0
IC1, 9.09, 0.44,Top,180.0
IC2, 8.66,10.41,Top,180.0
R1,21.08,14.12,Top,180.0
R2,21.08,12.50,Top,180.0
R3,17.92,12.26,Top,0.0
R4, 5.98, 0.12,Top,90.0
R5,18.08, 1.36,Top,180.0
R6, 3.38,15.14,Top,90.0
X6,28.83,10.57,Top,90.0
Y1,18.00, 7.00,Top,270.0
