Designator,Mid X,Mid Y,Layer,Rotation
AMPOUT+,84.50,42.00,Top,180.0
AMPOUT-,84.50,29.00,Top,180.0
C1,31.00,39.50,Top,90.0
C2,29.00,39.50,Top,90.0
C3,31.00,31.50,Top,270.0
C4,29.00,31.50,Top,270.0
C5,67.00,31.50,Top,270.0
C6,65.30,31.50,Top,270.0
C7,67.00,39.50,Top,90.0
C8,65.00,39.50,Top,90.0
C9,72.50,18.50,Top,0.0
C10,69.50,21.00,Top,180.0
C11,21.50,16.20,Top,180.0
C12,28.60,20.80,Top,180.0
C13,39.00,13.00,Top,180.0
C14,45.00,19.00,Top,0.0
C15,51.50,15.00,Top,180.0
D1,28.50, 8.50,Top,0.0
D2,68.50, 8.50,Top,0.0
IC1,30.00,35.50,Top,270.0
IC2,66.00,35.50,Top,0.0
IC3,66.50,17.00,Top,0.0
IC4,26.70,16.80,Top,180.0
IC6,56.50,16.00,Top,0.0
IC7,42.00,16.00,Top,180.0
R1,27.00,33.50,Top,270.0
R2,36.00,34.50,Top,0.0
R3,36.00,36.50,Top,0.0
R4,27.00,36.50,Top,90.0
R5,25.00,33.50,Top,90.0
R6,25.00,35.90,Top,0.0
R7,23.00,36.50,Top,270.0
R8,56.00,36.50,Top,0.0
R9,56.00,34.50,Top,0.0
R10,71.00,34.50,Top,0.0
R11,71.00,36.50,Top,0.0
R12,24.50, 8.50,Top,0.0
R13,64.50, 8.50,Top,0.0
R14,21.00,32.50,Top,0.0
R15,25.60,28.10,Top,180.0
R16,51.50,18.00,Top,0.0
R17,36.00,16.00,Top,0.0
R18,36.00,14.00,Top,0.0
R19,41.00,19.00,Top,0.0
R20,36.00,18.00,Top,180.0
R21,44.00,37.50,Top,90.0
R22,44.00,33.50,Top,270.0
